4437,11143
10370,11143
11143,11335
2648,5224
11335,22142
4751,10217
11894,12192
2648,11335
6333,17503
1152,10370
5224,22142
10092,17503
4437,22142
2384,11143
7596,9994
2384,22142
4437,16190
5707,11143
2986,11456
4751,24735
11563,23006
11563,18802
6982,15026
10909,11563
17503,22536
1548,16341
1152,4437
5224,11143
3130,11563
11143,12873
1742,24113
5881,9537
21525,22142
17503,19603
11143,21525
11431,15030
11335,16190
11143,20732
1152,2384
26268,26796
2648,21525
12686,23818
21739,24920
22773,25707
7081,28730
12525,18872
11563,29237
3508,9537
19592,26427
5881,6954
2648,12873
3940,8375
1825,11563
12495,18243
11563,23321
15030,17218
2942,5881
11688,15768
7630,10878
5707,22142
5518,6954
1152,11335
4315,8375
12873,22142
2384,2648
12525,25151
8798,18985
10370,16190
4086,17584
3056,24113
3291,17657
4751,28314
5568,16886
9642,12794
2384,16190
7630,26503
5075,24553
1411,24113
1072,18078
11143,11452
4132,11456
1152,5707
15768,26674
3194,29281
16190,21525
1965,2942
11041,15768
11563,29433
1548,17263
11335,20357
7475,25020
7630,26348
4981,6982
1742,7353
3199,22773
13136,27059
533,6982
9438,19198
10370,22142
9537,16801
3940,19414
8885,21593
7630,21635
2942,3508
12279,23566
11042,15768
5075,9732
3508,6954
1470,5075
17503,27134
8637,16566
1548,25514
4650,6982
20278,22761
6982,13888
11452,22142
11580,17368
2648,5707
12525,21895
6982,18453
4437,20357
11338,24113
7409,25182
7475,9537
1152,11452
1152,21525
12279,20958
5707,16190
8637,25138
5224,16190
3197,16061
1152,7633
8637,22202
10263,19592
3056,8281
1965,6954
2648,4437
273,25239
5075,22578
9635,10202
6954,16801
5078,9218
2648,20732
1965,9537
11452,16190
8281,27686
5566,11456
2942,5518
10796,29281
17533,23566
7910,14714
5518,9537
5075,5182
7633,11143
5205,6622
1411,13960
7910,24475
4751,8247
15030,16401
8637,20795
9465,25020
7106,16437
8135,8281
20823,23194
2332,2986
7848,12279
1487,6031
11563,23711
1487,1529
13399,20278
4315,19414
7009,25860
11563,14364
1466,25182
6982,17675
17503,20512
7630,15017
18537,24465
10102,24465
12307,19414
12873,16190
1466,3435
2115,24615
15149,27726
2,29281
9537,12935
2115,22773
5125,18835
593,5075
3197,4428
3859,5078
15768,17611
8885,11141
8885,20278
12525,17609
1152,5224
18241,18759
785,24113
1529,1682
1661,5078
5224,20357
13875,27686
5078,6510
19811,29382
20732,22142
3729,5075
6982,21216
16801,25020
7323,24920
